agent_type,asset,seed,total_return,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio
embeddings,BTC/USDT,42,0.375796962993413,2.0622892391700787,1.7356092338250992,0.0959675167402347,4.331367181316637
embeddings,BTC/USDT,43,0.0241612193889573,0.2462800328978048,0.1273778631677807,0.1737143919219929,0.1517040898350102
embeddings,BTC/USDT,44,0.3629058600454955,1.3591616891615874,1.5066747579503157,0.1434617801739579,2.79673117663458
embeddings,BTC/USDT,45,0.1920331304041882,1.1706574802492893,1.245053689690082,0.112120222522876,1.881310972930682
embeddings,BTC/USDT,46,0.3902787040274291,1.5842100880264032,1.847186326519533,0.1372083491317183,3.1478703377835147
baseline,BTC/USDT,42,0.3986918316552634,1.2754952642028206,1.5482298841889033,0.1465875278847445,3.010881684913261
baseline,BTC/USDT,43,0.4270917283168405,1.331099772387168,1.399986585718642,0.256341220853192,1.846264055013496
baseline,BTC/USDT,44,0.8791785102875949,2.062738323532246,2.707697299612345,0.1416473259459449,6.977852896060039
baseline,BTC/USDT,45,0.4518106307716039,1.4797391241864304,1.6529561456861457,0.1843046276478019,2.718863516100842
baseline,BTC/USDT,46,0.7287227208318636,2.062211692027,2.5300586549312154,0.1253267830800282,6.507586859000227
