algorithm,seed,sharpe,sortino,max_drawdown,calmar,total_return,sharpe_ci_low,sharpe_ci_high,total_return_ci_low,total_return_ci_high
PPO,42,-0.34461236294930875,-0.4032234262416449,0.1869402024207838,-0.41736970235289644,-0.11796634446328325,-0.361317987369329,0.442881870796929,-0.11706321202552801,0.09932730575502643
PPO,123,0.8067527257060015,0.8662848871565272,0.1197057486951163,1.1042286370204208,0.21146810410701344,-0.361317987369329,0.442881870796929,-0.11706321202552801,0.09932730575502643
PPO,7,0.17185119042830238,0.18668839059827672,0.18596821882812664,0.07986599269701208,0.023042934357100364,-0.361317987369329,0.442881870796929,-0.11706321202552801,0.09932730575502643
PPO,2024,-0.5072203996906739,-0.5270030030950652,0.24124910615627482,-0.44460302786947625,-0.1608107179030085,-0.361317987369329,0.442881870796929,-0.11706321202552801,0.09932730575502643
PPO,99,-0.10292441156667989,-0.1273073868102068,0.22341405498210043,-0.20449911006420124,-0.06971185044690331,-0.361317987369329,0.442881870796929,-0.11706321202552801,0.09932730575502643
A2C,42,0.1511948975715781,0.17800556318710162,0.2336141389441927,0.042161267641761105,0.015260255598243955,-0.10894416989938054,0.1282274017002775,-0.06158136227101072,0.009414151303011908
A2C,123,0.09377615789332654,0.10587354168406383,0.18190110874235488,-0.011444408108304929,-0.003214906273389162,-0.10894416989938054,0.1282274017002775,-0.06158136227101072,0.009414151303011908
A2C,7,-0.040650314037404524,-0.046575457654451306,0.242677263939875,-0.1108515036662058,-0.0412617027863057,-0.10894416989938054,0.1282274017002775,-0.06158136227101072,0.009414151303011908
A2C,2024,-0.21011647928886945,-0.2384197325595441,0.19998545895072506,-0.3093539992704482,-0.09396845472233062,-0.10894416989938054,0.1282274017002775,-0.06158136227101072,0.009414151303011908
A2C,99,0.1262789024071102,0.1267082730560202,0.17532614685010584,0.03641520398816714,0.009882575795980397,-0.10894416989938054,0.1282274017002775,-0.06158136227101072,0.009414151303011908
SAC,42,-0.057185462129742744,-0.0689191696449406,0.1921550534800044,-0.1251827866019215,-0.03692452617706099,-0.2649390707320153,0.1789970897658322,-0.07803578091374111,0.02457699110413092
SAC,123,0.35348714174945084,0.41415384439418074,0.1348548611734265,0.3111690294460482,0.06557800262492552,-0.2649390707320153,0.1789970897658322,-0.07803578091374111,0.02457699110413092
SAC,7,0.013535633193459039,0.015661098049033463,0.15439595767711234,-0.041194306591879164,-0.009810812874380348,-0.2649390707320153,0.1789970897658322,-0.07803578091374111,0.02457699110413092
SAC,2024,-0.4095433622037584,-0.4946654062844837,0.22717448672482554,-0.3330797152150815,-0.11448118850575473,-0.2649390707320153,0.1789970897658322,-0.07803578091374111,0.02457699110413092
SAC,99,-0.1096009002422604,-0.12417676086242473,0.1433640465362207,-0.17506691492683385,-0.03851567237610409,-0.2649390707320153,0.1789970897658322,-0.07803578091374111,0.02457699110413092
